Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
56,"[27.45, 79.67]",15,1,5455.8918,0.5302,Hardoi,Rejected,0.0,0.0,0.0,0.0
57,"[27.46, 79.67]",16,3,6550.3174,0.5707,Hardoi,Rejected,0.0,0.0,0.0,0.0
58,"[27.47, 79.67]",12,4,6848.5023,0.5067,Hardoi,Rejected,0.0,0.0,0.0,0.0
59,"[27.48, 79.67]",3,0,1072.2394,0.44,Hardoi,Rejected,0.0,0.0,0.0,0.0
60,"[27.49, 79.67]",0,0,0.0,0.1733,Hardoi,Rejected,0.0,0.0,0.0,0.0
61,"[27.5, 79.67]",0,0,785.5093,0.6243,Hardoi,Rejected,0.0,0.0,0.0,0.0
62,"[27.51, 79.67]",0,0,0.0,0.1741,Hardoi,Rejected,0.0,0.0,0.0,0.0
63,"[27.52, 79.67]",0,0,0.0,0.1894,Hardoi,Rejected,0.0,0.0,0.0,0.0
64,"[27.53, 79.67]",0,0,0.0,0.2147,Hardoi,Rejected,0.0,0.0,0.0,0.0
65,"[27.54, 79.67]",0,0,0.0,0.1865,Hardoi,Rejected,0.0,0.0,0.0,0.0
66,"[27.55, 79.67]",0,0,0.0,0.1938,Hardoi,Rejected,0.0,0.0,0.0,0.0
67,"[27.56, 79.67]",0,0,0.0,0.2381,Hardoi,Rejected,0.0,0.0,0.0,0.0
68,"[27.57, 79.67]",0,0,0.0,0.2533,Hardoi,Rejected,0.0,0.0,0.0,0.0
69,"[27.58, 79.67]",0,0,0.0,0.2596,Hardoi,Rejected,0.0,0.0,0.0,0.0
70,"[27.59, 79.67]",0,0,178.2436,0.3445,Hardoi,Rejected,0.0,0.0,0.0,0.0
71,"[27.6, 79.67]",0,0,1193.7063,0.5758,Hardoi,Rejected,0.0,0.0,0.0,0.0
72,"[27.61, 79.67]",0,0,1221.0184,0.5427,Hardoi,Rejected,0.0,0.0,0.0,0.0
73,"[27.62, 79.67]",0,0,1296.1211,0.5062,Hardoi,Rejected,0.0,0.0,0.042367,0.0
74,"[27.63, 79.67]",0,0,1234.3399,0.5894,Hardoi,Rejected,0.0,0.0,0.209642,0.0
75,"[27.64, 79.67]",0,0,347.6103,0.4669,Hardoi,Rejected,0.0,0.0,0.024836,0.0
76,"[27.65, 79.67]",0,0,0.0,0.1739,Hardoi,Rejected,0.0,0.0,0.0,0.0
77,"[27.66, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
78,"[27.67, 79.67]",0,0,0.0,0.1878,Hardoi,Rejected,0.0,0.0,0.0,0.0
79,"[27.68, 79.67]",0,0,0.0,0.3128,Hardoi,Rejected,0.0,0.0,0.0,0.0
80,"[27.69, 79.67]",0,0,1026.9328,0.5243,Hardoi,Rejected,0.0,0.0,0.0,0.0
81,"[27.7, 79.67]",0,0,0.0,0.2224,Hardoi,Rejected,0.0,0.0,0.0,0.0
82,"[27.71, 79.67]",0,0,0.0,0.3779,Hardoi,Rejected,0.0,0.0,0.0,0.0
83,"[27.72, 79.67]",2,0,2715.8147,0.4668,Hardoi,Rejected,0.0,0.0,0.0,0.0
84,"[27.73, 79.67]",3,0,1684.9871,0.5498,Hardoi,Rejected,0.0,0.0,0.0,0.0
85,"[27.74, 79.67]",0,0,1897.7833,0.4819,Hardoi,Rejected,0.0,0.0,0.0,0.0
86,"[27.75, 79.67]",3,0,2811.4036,0.4844,Hardoi,Rejected,0.0,0.0,0.0,0.0
87,"[27.76, 79.67]",12,0,4051.5858,0.5161,Hardoi,Rejected,0.0,0.0,0.0,0.0
88,"[27.77, 79.67]",24,0,5370.7157,0.5348,Hardoi,Rejected,0.0,0.0,0.0,0.0
89,"[27.78, 79.67]",7,0,2890.4746,0.3698,Hardoi,Rejected,0.0,0.0,0.0,0.0
90,"[27.79, 79.67]",10,0,2916.6543,0.4661,Hardoi,Rejected,0.0,0.0,0.0,0.0
91,"[26.89, 79.68]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
92,"[26.9, 79.68]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
93,"[26.91, 79.68]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
94,"[26.92, 79.68]",0,0,0.0,0.1978,Hardoi,Rejected,0.0,0.0,0.0,0.0
95,"[26.93, 79.68]",0,0,0.0,0.2475,Hardoi,Rejected,0.0,0.0,0.0,0.0
96,"[26.94, 79.68]",1,0,1392.7060000000001,0.5765,Hardoi,Rejected,0.0,0.0,0.0,0.0
97,"[26.95, 79.68]",0,0,0.0,0.1731,Hardoi,Rejected,0.0,0.0,0.0,0.0
98,"[26.96, 79.68]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
99,"[26.97, 79.68]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
100,"[26.98, 79.68]",0,0,0.0,0.1823,Hardoi,Rejected,0.0,0.0,0.0,0.0
101,"[26.99, 79.68]",0,0,0.0,0.3043,Hardoi,Rejected,0.0,0.0,0.0,0.0
102,"[27.0, 79.68]",0,1,1581.2848,0.625,Hardoi,Rejected,0.0,0.0,0.0,0.0
103,"[27.01, 79.68]",0,0,1534.0396,0.5201,Hardoi,Rejected,0.0,0.0,0.0,0.0
104,"[27.02, 79.68]",1,0,913.9723,0.4687,Hardoi,Rejected,0.0,0.0,0.0,0.0
105,"[27.03, 79.68]",0,0,0.0,0.1735,Hardoi,Rejected,0.0,0.0,0.0,0.0
106,"[27.04, 79.68]",0,0,0.0,0.1591,Hardoi,Rejected,0.0,0.0,0.0,0.0
107,"[27.05, 79.68]",0,0,0.0,0.2666,Hardoi,Rejected,0.0,0.0,0.0,0.0
