Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
1143,"[23.64, 85.77]",0,0,0.0,0.2271,Bokaro,Rural,0.0,0.0,1.0,0.0
1144,"[23.65, 85.77]",0,0,0.0,0.1878,Bokaro,Rural,0.0,0.0,1.0,0.0
1145,"[23.66, 85.77]",0,0,0.0,0.4422,Bokaro,Rural,0.0,0.0,1.0,0.0
1146,"[23.67, 85.77]",0,0,0.0,0.2165,Bokaro,Rural,0.0,0.0,1.0,0.0
1147,"[23.68, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1148,"[23.69, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1149,"[23.7, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1150,"[23.71, 85.77]",0,0,0.0,0.2508,Bokaro,Rural,0.0,0.0,1.0,0.0
1151,"[23.72, 85.77]",0,0,0.0,0.3321,Bokaro,Rural,0.0,0.0,1.0,0.0
1152,"[23.73, 85.77]",0,0,0.0,0.405,Bokaro,Rural,0.0,0.0,1.0,0.0
1153,"[23.74, 85.77]",0,0,736.2608,0.4148,Bokaro,Rural,0.0,0.0,1.0,0.0
1154,"[23.75, 85.77]",0,0,0.0,0.2432,Bokaro,Rural,0.0,0.0,1.0,0.0
1155,"[23.76, 85.77]",0,0,0.0,0.0921,Bokaro,Rural,0.0,0.0,1.0,0.0
1156,"[23.77, 85.77]",0,0,715.4065,0.5536,Bokaro,Rural,0.0,0.0,1.0,0.0
1157,"[23.78, 85.77]",0,0,598.3018,0.4813,Bokaro,Rural,0.0,0.0,1.0,0.0
1158,"[23.79, 85.77]",0,0,0.0,0.2048,Bokaro,Rural,0.0,0.0,1.0,0.0
1159,"[23.8, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1160,"[23.81, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1161,"[23.82, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1162,"[23.83, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1163,"[23.84, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1164,"[23.85, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1165,"[23.86, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1166,"[23.87, 85.77]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1167,"[23.88, 85.77]",0,0,0.0,0.23600000000000002,Bokaro,Rural,0.0,0.0,1.0,0.0
1168,"[23.89, 85.77]",0,0,1298.9196,0.6348,Bokaro,Rural,0.0,0.0,0.9605549999999999,0.0
1169,"[23.9, 85.77]",0,0,53.0072,0.1765,Bokaro,Rejected,0.0,0.0,0.017531,0.0
1170,"[23.91, 85.77]",0,0,0.0,0.063,Bokaro,Rejected,0.0,0.0,0.0,0.0
1171,"[23.92, 85.77]",0,0,0.0,0.2179,Bokaro,Rejected,0.0,0.0,0.0,0.0
1172,"[23.93, 85.77]",0,0,0.0,0.2936,Bokaro,Rejected,0.0,0.0,0.0,0.0
1173,"[23.94, 85.77]",1,0,1235.05,0.5479999999999999,Bokaro,Rejected,0.0,0.0,0.0,0.0
1174,"[23.95, 85.77]",0,0,75.4753,0.3268,Bokaro,Rejected,0.0,0.0,0.0,0.0
1175,"[23.96, 85.77]",0,0,1116.305,0.2791,Bokaro,Rejected,0.0,0.0,0.0,0.0
