Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
59,"[24.95, 85.82]",0,0,0.0,0.3471,Jamui,Rejected,0.0,0.0,0.0,0.0
60,"[24.96, 85.82]",0,0,0.0,0.4194,Jamui,Rejected,0.0,0.0,0.0,0.0
61,"[24.97, 85.82]",0,0,0.0,0.2445,Jamui,Rejected,0.0,0.0,0.0,0.0
62,"[24.98, 85.82]",0,0,0.0,0.1573,Jamui,Rejected,0.0,0.0,0.0,0.0
63,"[24.99, 85.82]",0,0,0.0,0.1215,Jamui,Rejected,0.0,0.0,0.0,0.0
64,"[25.0, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
65,"[25.01, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
66,"[25.02, 85.82]",0,0,0.0,0.1405,Jamui,Rejected,0.0,0.0,0.0,0.0
67,"[25.03, 85.82]",0,0,0.0,0.1999,Jamui,Rejected,0.0,0.0,0.0,0.0
68,"[25.04, 85.82]",0,0,0.0,0.1622,Jamui,Rejected,0.0,0.0,0.0,0.0
69,"[25.05, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
70,"[25.06, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
71,"[25.07, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
72,"[25.08, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
73,"[25.09, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
74,"[25.1, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
75,"[25.11, 85.82]",0,0,0.0,0.3282,Jamui,Rejected,0.0,0.0,0.0,0.0
76,"[25.12, 85.82]",0,0,1146.8427,0.4619,Jamui,Rejected,0.0,0.0,0.0,0.0
77,"[25.13, 85.82]",0,0,1004.0284,0.5946,Jamui,Rejected,0.0,0.0,0.0,0.0
78,"[25.14, 85.82]",0,0,999.7241,0.4275,Jamui,Rejected,0.0,0.0,0.0,0.0
79,"[24.36, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
80,"[24.37, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
81,"[24.38, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
82,"[24.39, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
83,"[24.4, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
84,"[24.41, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
85,"[24.42, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
86,"[24.43, 85.83]",0,0,0.0,0.1803,Jamui,Rejected,0.0,0.0,0.0,0.0
87,"[24.44, 85.83]",0,0,1175.0948,0.5133,Jamui,Rejected,0.0,0.0,0.0,0.0
88,"[24.45, 85.83]",0,0,0.0,0.35600000000000004,Jamui,Rejected,0.0,0.0,0.0,0.0
89,"[24.46, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
90,"[24.47, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
91,"[24.48, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
92,"[24.49, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
93,"[24.5, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
94,"[24.51, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
95,"[24.52, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
96,"[24.53, 85.83]",0,0,0.0,0.1594,Jamui,Rejected,0.0,0.0,0.0,0.0
97,"[24.54, 85.83]",0,0,0.0,0.21899999999999997,Jamui,Rejected,0.0,0.0,0.0,0.0
98,"[24.55, 85.83]",0,0,0.0,0.1727,Jamui,Rejected,0.0,0.0,0.0,0.0
99,"[24.56, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
100,"[24.57, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
101,"[24.58, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
102,"[24.59, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
103,"[24.6, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
104,"[24.61, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
105,"[24.62, 85.83]",0,0,0.0,0.1831,Jamui,Rejected,0.0,0.0,0.0,0.0
106,"[24.63, 85.83]",0,0,0.0,0.2364,Jamui,Rejected,0.0,0.0,0.0,0.0
107,"[24.64, 85.83]",0,0,0.0,0.1516,Jamui,Rejected,0.0,0.0,0.0,0.0
108,"[24.65, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
109,"[24.66, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
110,"[24.67, 85.83]",0,0,0.0,0.1583,Jamui,Rejected,0.0,0.0,0.0,0.0
111,"[24.68, 85.83]",0,0,0.0,0.2116,Jamui,Rejected,0.0,0.0,0.0,0.0
112,"[24.69, 85.83]",0,0,0.0,0.0916,Jamui,Rejected,0.0,0.0,0.0,0.0
113,"[24.7, 85.83]",0,0,724.1136,0.4597,Jamui,Rejected,0.0,0.0,0.0,0.0
114,"[24.71, 85.83]",0,0,276.9877,0.4077,Jamui,Rejected,0.0,0.0,0.0,0.0
115,"[24.72, 85.83]",0,0,0.0,0.1647,Jamui,Rejected,0.0,0.0,0.0,0.0
116,"[24.73, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
117,"[24.74, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
118,"[24.75, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
119,"[24.76, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
120,"[24.77, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
121,"[24.78, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
122,"[24.79, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
123,"[24.8, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
124,"[24.81, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
125,"[24.82, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
126,"[24.83, 85.83]",0,0,0.0,0.1349,Jamui,Rejected,0.0,0.0,0.0,0.0
127,"[24.84, 85.83]",0,0,0.0,0.376,Jamui,Rejected,0.0,0.0,0.0,0.0
128,"[24.85, 85.83]",0,0,1192.5489,0.5386,Jamui,Rejected,0.0,0.0,0.0,0.0
129,"[24.86, 85.83]",0,0,0.0,0.0979,Jamui,Rejected,0.0,0.0,0.0,0.0
130,"[24.87, 85.83]",0,0,535.4275,0.4185,Jamui,Rejected,0.0,0.0,0.0,0.0
131,"[24.88, 85.83]",0,0,1231.6691,0.5987,Jamui,Rejected,0.0,0.0,0.0,0.0
132,"[24.89, 85.83]",0,0,389.6536,0.4012,Jamui,Rejected,0.0,0.0,0.0,0.0
133,"[24.9, 85.83]",0,0,0.0,0.2337,Jamui,Rejected,0.0,0.0,0.0,0.0
134,"[24.91, 85.83]",0,0,0.0,0.1409,Jamui,Rejected,0.0,0.0,0.256392,0.0
135,"[24.92, 85.83]",0,0,0.0,0.1659,Jamui,Rural,0.0,0.0,1.0,0.0
136,"[24.93, 85.83]",0,0,782.2104,0.4392,Jamui,Rural,0.0,0.0,1.0,0.0
137,"[24.94, 85.83]",0,0,602.3056,0.4221,Jamui,Rural,0.0,0.0,0.663258,0.0
138,"[24.95, 85.83]",0,0,1277.8123,0.5641,Jamui,Rejected,0.0,0.0,0.0,0.0
139,"[24.96, 85.83]",0,0,1204.731,0.5114,Jamui,Rejected,0.0,0.0,0.0,0.0
140,"[24.97, 85.83]",0,0,1284.9753,0.6052,Jamui,Rejected,0.0,0.0,0.284149,0.0
141,"[24.98, 85.83]",0,0,113.4561,0.3478,Jamui,Rejected,0.0,0.0,0.500365,0.0
142,"[24.99, 85.83]",0,0,0.0,0.3326,Jamui,Rejected,0.0,0.0,0.0,0.0
143,"[25.0, 85.83]",0,0,0.0,0.2207,Jamui,Rejected,0.0,0.0,0.0,0.0
144,"[25.01, 85.83]",0,0,0.0,0.2363,Jamui,Rejected,0.0,0.0,0.0,0.0
145,"[25.02, 85.83]",0,0,0.0,0.0827,Jamui,Rejected,0.0,0.0,0.0,0.0
146,"[25.03, 85.83]",0,0,296.1901,0.4835,Jamui,Rejected,0.0,0.0,0.0,0.0
147,"[25.04, 85.83]",0,0,0.0,0.3631,Jamui,Rejected,0.0,0.0,0.0,0.0
148,"[25.05, 85.83]",0,0,0.0,0.1519,Jamui,Rejected,0.0,0.0,0.0,0.0
149,"[25.06, 85.83]",0,0,0.0,0.1808,Jamui,Rejected,0.0,0.0,0.0,0.0
150,"[25.07, 85.83]",0,0,0.0,0.161,Jamui,Rejected,0.0,0.0,0.0,0.0
151,"[25.08, 85.83]",0,0,0.0,0.1314,Jamui,Rejected,0.0,0.0,0.0,0.0
152,"[25.09, 85.83]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
153,"[25.1, 85.83]",0,0,0.0,0.128,Jamui,Rejected,0.0,0.0,0.0,0.0
154,"[25.11, 85.83]",0,0,0.0,0.0894,Jamui,Rejected,0.0,0.0,0.0,0.0
155,"[25.12, 85.83]",0,0,1074.7607,0.5206,Jamui,Rejected,0.0,0.0,0.0,0.0
156,"[25.13, 85.83]",0,0,1547.5609,0.4069,Jamui,Rejected,0.0,0.0,0.0,0.0
157,"[25.14, 85.83]",3,1,3006.8155,0.5734,Jamui,Rejected,0.0,0.0,0.0,0.0
158,"[24.36, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
159,"[24.37, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
160,"[24.38, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
161,"[24.39, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
162,"[24.4, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
163,"[24.41, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
164,"[24.42, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
165,"[24.43, 85.84]",0,0,0.0,0.2605,Jamui,Rejected,0.0,0.0,0.0,0.0
166,"[24.44, 85.84]",0,0,1193.8576,0.5919,Jamui,Rejected,0.0,0.0,0.0,0.0
167,"[24.45, 85.84]",0,0,0.0,0.2563,Jamui,Rejected,0.0,0.0,0.0,0.0
168,"[24.46, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
169,"[24.47, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
170,"[24.48, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
171,"[24.49, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
172,"[24.5, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
173,"[24.51, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
174,"[24.52, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
175,"[24.53, 85.84]",0,0,0.0,0.2065,Jamui,Rejected,0.0,0.0,0.0,0.0
176,"[24.54, 85.84]",0,0,330.9289,0.6053,Jamui,Rejected,0.0,0.0,0.0,0.0
177,"[24.55, 85.84]",0,0,0.0,0.2661,Jamui,Rejected,0.0,0.0,0.0,0.0
178,"[24.56, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
179,"[24.57, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
180,"[24.58, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
181,"[24.59, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
