Grid_Number,Connectivity
0,18.52214980982662
1,17.457858993149003
2,16.399893580849593
3,15.34956156029236
4,14.308544038956017
5,13.279031844519745
6,12.263922811739421
7,11.267110566971336
8,10.293911798529445
9,9.351701529398987
10,8.450851120776493
11,7.606070577348171
12,6.838172005819986
13,6.175900333252054
14,5.6564790517472225
15,5.321900731031536
16,5.207913335546147
17,5.32869186777319
18,5.669251672336466
19,6.193442808197811
20,6.859294052892491
21,7.629807191612915
22,8.476488804324466
23,9.48822863110941
24,8.381049965019711
25,7.27532657717761
26,6.17184068341752
27,5.072052875006249
28,3.979030741361357
29,2.9004332853928103
30,1.8615056201358091
31,0.9953669841079832
32,0.9945702694022208
33,1.8602276572981473
34,2.8990664327751303
35,3.977635950509396
36,5.070646078794582
37,6.170427690725801
38,7.273909983291825
39,8.379631097611378
40,8.846881214403751
41,9.109883467140833
42,9.496605032892969
43,9.99269224580685
44,10.582776114556095
45,11.252078166498144
46,11.987336511582651
47,12.77716991440691
48,13.61208162641103
49,14.484278449039335
50,15.387421453163888
51,16.316372653504587
52,17.266967161651095
53,18.235820632968892
54,19.220172063663416
55,20.217757911267633
56,18.163972045081735
57,17.128411896394713
58,16.103042235389267
59,15.034063435267608
60,13.969580620776997
61,12.913100481723642
62,11.866760609693808
63,10.83349955787463
64,9.817447731418266
65,8.824551503265257
66,7.863586999227349
67,6.9478164728955205
68,6.0976363431779195
69,5.34444068095367
70,4.734742379138372
71,4.32959427514521
72,4.188776642877534
73,4.338107297710409
74,4.750301261495273
75,5.365110549603516
76,6.121790778028145
77,6.9743168437077125
78,7.8916874322850745
79,9.45422548464342
80,8.342538268153632
81,7.230931636952723
82,6.11944950649177
83,5.008174770139671
84,3.8972848414716306
85,2.7872398684744857
86,1.6797158613293648
87,0.5891069569555215
88,0.587801820521784
89,1.6783436165539622
90,2.7858617969645194
91,3.895905151552313
92,5.006794412549606
93,6.118068810558333
94,7.229550746309418
95,7.703027884422001
96,7.847785153429922
97,8.143198768428402
98,8.573709914115458
99,9.120207143600988
100,9.763232873106762
101,10.485042444756822
102,11.270509089820553
103,12.107249743877862
104,12.98535631852456
105,13.896989681905962
106,14.835970708399012
107,15.797423607774494
108,16.77748549598516
109,17.77307816991894
110,18.78173199791773
111,19.801451138507797
112,17.828604792276902
113,16.772378388145103
114,15.723837524599748
115,14.68462862839481
116,13.656882190190046
117,12.619139686582985
118,11.546215799646767
119,10.481429973664111
120,9.427540051991281
121,8.388653688719039
122,7.371117427154237
123,6.385146488437978
124,5.447906145575963
125,4.5893495401279
126,3.862310082090864
127,3.353447670271145
128,3.1696443842410558
129,3.364601299728277
130,3.8816620702981894
131,4.613775144947016
132,5.475345092918163
133,6.414417262950632
134,7.401550911681572
135,8.419858972183421
136,8.427779683351215
137,7.329105577183787
138,6.235139857648277
139,5.148884523845
140,4.0765079354605565
141,3.0327684330310225
142,2.061628992188163
143,1.3325937666830046
144,1.331976165366152
145,2.060431308181406
146,3.0314115786034592
147,3.8334293862937576
148,4.549018370716047
149,5.400446051161477
150,6.3331610671831875
151,6.687738362130116
152,6.8540544710651785
153,7.190489720637929
154,7.67470413704157
155,8.280814343884916
156,8.984183337561268
157,9.76381460937156
158,10.602898785129495
