Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
78,"[[25.1406685 85.8243053]
 [25.1424711 85.8230821]
 [25.1445271 85.8242904]
 [25.1485955 85.8252842]
 [25.146427  85.8212065]
 [25.1476024 85.8212877]]",None,None,None,None,[[25.1466586 85.8268657]],None,None,None,None,None,None
79,None,None,None,None,None,None,None,None,None,None,None,None
80,None,None,None,None,None,None,None,None,None,None,None,None
81,None,None,None,None,None,None,None,None,None,None,None,None
82,None,None,None,None,None,None,None,None,None,None,None,None
83,None,None,None,None,None,None,None,None,None,None,None,None
84,[[24.418176  85.8375402]],None,None,None,None,None,None,None,None,None,None,None
85,"[[24.4234839 85.8371375]
 [24.4231289 85.8392316]]",None,None,None,None,None,None,None,None,[[24.423889 85.834384]],None,None
86,"[[24.4350273 85.8328582]
 [24.4349626 85.8336761]
 [24.4331275 85.8396655]]",None,None,None,None,None,None,None,None,None,None,None
87,[[24.4452597 85.8303264]],None,None,None,None,None,None,None,None,None,None,None
88,"[[24.4508158 85.8373544]
 [24.4508362 85.8375871]
 [24.450814  85.8376407]]",None,None,None,None,None,None,None,None,None,None,None
89,None,None,None,None,None,None,None,None,None,None,None,None
90,None,None,None,None,None,None,None,None,None,None,None,None
91,None,None,None,None,None,None,None,None,None,None,None,None
92,None,None,None,None,None,None,None,None,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None
94,None,None,None,None,None,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,None,None,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None
100,None,None,None,None,None,None,None,None,None,None,None,None
101,None,None,None,None,None,None,None,None,None,None,None,None
102,None,None,None,None,None,None,None,None,None,None,None,None
103,None,None,None,None,None,None,None,None,None,None,None,None
104,None,None,None,None,None,None,None,None,None,None,None,None
105,None,None,None,None,None,None,None,None,None,None,None,None
106,None,None,None,None,None,None,None,None,None,None,None,None
107,"[[24.6433707 85.8310593]
 [24.6414813 85.83676  ]]",None,None,None,None,None,None,None,None,None,None,None
108,None,None,None,None,None,None,None,None,None,None,None,None
109,None,None,None,None,None,None,None,None,None,None,None,None
110,None,None,None,None,None,None,None,None,None,None,None,None
111,None,None,None,None,None,None,None,None,None,None,None,None
112,[[24.6982681 85.8310868]],None,None,None,None,None,None,None,None,None,None,None
113,None,None,None,None,None,None,None,None,None,None,None,None
114,None,None,None,None,None,None,None,None,None,None,None,None
115,None,None,None,None,None,None,None,None,None,None,None,None
116,None,None,None,None,None,None,None,None,None,None,None,None
117,None,None,None,None,None,None,None,None,None,None,None,None
118,[[24.7542761 85.8359976]],None,None,None,None,None,None,None,None,None,None,None
119,None,None,None,None,None,None,None,None,None,None,None,None
120,None,None,None,None,None,None,None,None,None,None,None,None
121,None,None,None,None,None,None,None,None,None,None,None,None
122,None,None,None,None,None,None,None,None,None,None,None,None
123,None,None,None,None,None,None,None,None,None,None,None,None
124,None,None,None,None,None,None,None,None,None,None,None,None
125,None,None,None,None,None,None,None,None,None,None,None,None
126,None,None,None,None,None,None,None,None,None,None,None,None
127,None,None,None,None,None,None,None,None,None,None,None,None
128,"[[24.857714  85.834194 ]
 [24.8575106 85.8349458]
 [24.8573585 85.8351121]
 [24.8509111 85.8371231]]",None,None,None,None,None,[[24.859773  85.8350266]],None,None,None,None,None
129,"[[24.8656564 85.8382126]
 [24.8685991 85.8345459]]",None,None,None,None,None,None,None,None,None,None,None
130,"[[24.8793285 85.8348291]
 [24.8754373 85.8368538]]",None,None,None,None,None,None,None,[[24.8792737 85.8371549]],None,None,None
131,[[24.8868854 85.8323746]],None,None,None,None,None,None,None,None,None,None,None
132,[[24.8942083 85.8389158]],None,None,None,None,None,None,None,None,None,None,None
133,"[[24.9079482 85.8307522]
 [24.909624  85.837967 ]]",None,None,None,None,None,None,None,None,None,None,None
134,[[24.9157081 85.8382909]],None,None,None,None,None,None,None,None,None,None,None
135,None,None,None,None,None,None,None,None,None,None,None,None
136,"[[24.939363  85.833469 ]
 [24.938225  85.8358259]]",None,None,None,None,None,None,None,None,None,None,None
137,"[[24.940832  85.830915 ]
 [24.9403427 85.8346665]
 [24.94331   85.832685 ]
 [24.9402663 85.832706 ]]",None,None,None,None,None,None,None,None,[[24.9408017 85.8328909]],None,[[24.9461862 85.8303147]]
138,None,None,None,None,None,None,None,"[[24.9544346 85.8325251]
 [24.9542452 85.8327172]]",None,None,None,None
139,"[[24.96025   85.8308082]
 [24.9600839 85.8315381]
 [24.961433  85.830034 ]]",None,None,None,None,None,None,None,None,None,None,[[24.9609492 85.8303911]]
140,[[24.9799349 85.8331398]],None,None,None,None,None,None,None,None,None,None,None
141,None,None,None,None,None,None,None,None,None,None,None,None
142,"[[24.9918754 85.8374503]
 [24.9937133 85.8390399]]",None,None,None,None,None,None,None,None,None,None,None
143,None,None,None,None,None,None,None,None,None,None,None,None
144,None,None,None,None,None,None,None,None,None,None,None,None
145,[[25.0249657 85.8319756]],None,None,None,None,None,None,None,None,None,None,None
146,[[25.0388108 85.8397043]],None,None,None,None,None,None,None,None,None,None,None
147,None,None,None,None,None,None,None,None,None,None,None,None
148,[[25.0580376 85.8334965]],None,None,None,None,None,None,None,None,None,None,None
149,None,None,None,None,None,None,None,None,None,None,None,None
150,"[[25.0766205 85.8339732]
 [25.0777286 85.8342766]]",None,None,None,None,None,None,None,None,None,None,None
151,[[25.08541   85.8393902]],None,None,None,None,None,None,None,None,None,None,None
152,None,None,None,None,None,None,None,None,None,None,None,None
153,None,None,None,None,None,None,None,None,None,None,None,None
154,None,None,None,None,None,None,None,None,None,None,None,None
155,None,None,None,None,None,None,None,None,None,None,None,[[25.1299502 85.8393209]]
156,"[[25.1393287 85.8353507]
 [25.1398348 85.8374007]
 [25.1391711 85.8397648]
 [25.1380425 85.8325147]
 [25.1379894 85.8327817]
 [25.1380938 85.8333714]
 [25.1386993 85.8350876]
 [25.1380204 85.8357568]
 [25.1399809 85.83572  ]
 [25.1379012 85.8366993]
 [25.1336875 85.8362591]
 [25.1399963 85.8386496]
 [25.1391592 85.8393128]
 [25.1362687 85.8393168]
 [25.1356289 85.8393926]
 [25.1390387 85.8399302]
 [25.1346558 85.8398177]
 [25.1305957 85.8379788]]",None,None,None,None,"[[25.1386374 85.8338293]
 [25.1356512 85.8394924]]",[[25.1310416 85.8310901]],None,"[[25.1366893 85.8303695]
 [25.1391897 85.839203 ]
 [25.1355671 85.8392979]
 [25.1352877 85.8394754]]","[[25.1383542 85.832787 ]
 [25.1305992 85.8320472]
 [25.1391897 85.839203 ]]",None,"[[25.1396785 85.836409 ]
 [25.136629  85.8393285]]"
