Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
78,None,None,None,None,None,None,None,None,None,None,None,None
79,None,None,None,None,None,None,None,None,None,None,None,None
80,"[[26.2715332 89.6996828]
 [26.2712788 89.6996358]]",[[26.2712788 89.6996358]],None,None,None,None,None,None,None,None,None,None
81,[[26.2828756 89.6940587]],None,None,None,None,None,None,None,None,None,None,None
82,[[26.29116885 89.69455845]],None,None,None,None,None,None,None,None,None,None,None
83,None,None,[[26.3089313 89.6971449]],None,None,None,None,None,None,None,None,None
84,[[26.3101069 89.6973788]],None,None,None,None,None,None,None,None,None,None,None
85,None,None,None,None,None,None,None,None,None,None,None,None
86,None,None,None,None,None,None,None,None,None,None,None,None
87,None,None,None,None,None,None,None,None,None,None,None,None
88,None,None,None,None,None,None,None,None,None,None,None,None
89,[[26.3687484 89.6942054]],None,None,None,None,None,None,None,None,None,None,None
90,None,None,None,None,None,None,None,None,None,None,None,None
91,[[26.3808782 89.6911691]],None,None,None,None,None,None,None,None,None,None,None
92,None,None,None,None,None,None,None,None,None,None,None,None
93,[[26.407619  89.6919183]],None,None,None,None,None,None,None,None,None,None,None
94,[[26.4187088 89.692197 ]],None,None,None,None,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,None,None,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None
99,[[25.5175121 89.7033212]],None,None,None,None,None,None,None,None,None,None,None
100,[[25.5232791 89.7064882]],None,None,None,None,None,None,None,None,None,None,None
101,None,None,None,None,None,None,None,None,None,None,None,None
102,None,None,None,None,None,None,None,None,None,None,None,None
103,None,None,None,None,None,None,None,None,None,None,None,None
104,None,None,None,None,None,None,None,None,None,None,None,None
105,None,None,None,None,None,None,None,None,None,None,None,None
106,None,None,None,None,None,None,None,None,None,None,None,None
