Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
92,None,None,None,None,None,None,None,None,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None
94,[[26.9290864 79.6855136]],None,None,None,None,None,None,None,None,None,None,None
95,[[26.9326101 79.6810815]],None,None,None,None,None,None,None,None,None,None,None
96,[[26.9423258 79.6827245]],None,None,None,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None
98,"[[26.9698386 79.6851033]
 [26.9685618 79.6840615]
 [26.9696245 79.6852008]]",None,None,None,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None
100,None,None,None,None,None,None,None,None,None,None,None,None
101,None,None,None,None,None,None,None,None,None,None,None,None
102,[[27.0096775 79.6885049]],None,None,None,None,None,None,None,None,None,None,None
103,None,None,None,None,None,None,None,None,None,None,None,None
104,[[27.0219296 79.6807503]],None,None,None,None,None,None,None,None,None,None,None
105,None,None,None,None,None,None,None,None,None,None,None,None
106,None,None,None,None,None,None,None,None,None,None,None,None
107,None,None,None,None,None,None,None,None,None,None,None,None
108,[[27.0668697 79.6864648]],None,None,None,None,None,None,None,None,None,None,None
109,None,None,None,None,None,None,None,None,None,None,None,None
110,[[27.0880645 79.6866552]],None,None,None,None,None,None,None,None,None,None,None
111,None,None,None,None,None,None,None,None,None,None,None,None
112,None,None,None,None,None,None,None,None,None,None,None,None
113,None,None,None,None,None,None,None,None,None,None,None,None
114,None,None,None,None,None,None,None,None,None,None,None,None
115,[[27.139497  79.6826379]],None,None,None,None,None,None,None,None,None,None,[[27.1333773 79.6832939]]
116,None,None,None,None,None,None,None,None,None,None,None,None
117,None,None,None,None,None,None,None,None,None,None,None,None
118,None,None,None,None,None,None,None,None,None,None,None,None
119,"[[27.1751192 79.6813726]
 [27.1751323 79.6809513]
 [27.1747867 79.6807355]]",None,None,None,None,None,None,None,None,None,None,None
120,[[27.1801393 79.6870443]],None,None,None,None,None,None,None,None,None,None,None
121,None,None,None,None,None,None,None,None,None,None,None,None
122,None,None,None,None,None,None,None,None,None,None,None,None
123,None,None,None,None,None,None,None,None,None,None,None,None
124,None,None,None,None,None,None,None,None,None,None,None,None
125,None,None,None,None,None,None,None,None,None,None,None,None
126,None,None,None,None,None,None,None,None,None,None,None,None
127,None,None,None,None,None,None,None,None,None,None,None,None
128,None,None,None,None,None,None,None,None,None,None,None,None
129,None,None,None,None,None,None,None,None,None,None,None,None
130,None,None,None,None,None,None,None,None,None,None,None,None
131,None,None,None,None,None,None,None,None,None,None,None,None
132,[[27.3056801 79.6868346]],None,None,None,None,None,None,None,None,None,None,None
133,[[27.310164  79.6861228]],None,None,None,None,None,None,None,None,None,None,None
134,[[27.3294683 79.6856267]],None,None,None,None,None,None,None,None,None,None,None
135,None,None,None,None,None,None,None,None,None,None,None,None
136,None,None,None,None,None,None,None,None,None,None,None,None
137,None,None,None,None,None,None,None,None,None,None,None,None
138,None,None,None,None,None,None,None,None,None,None,None,None
