Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
4577,"[[23.8235746 86.3880579]
 [23.8299126 86.381574 ]
 [23.8235792 86.384562 ]
 [23.8234804 86.3845365]
 [23.823378  86.384737 ]
 [23.8217938 86.3874499]]",[[23.8299126 86.381574 ]],None,None,None,None,[[23.8200692 86.3853321]],None,None,None,None,None
4578,None,None,None,None,None,None,None,None,None,None,None,None
4579,"[[23.8457477 86.3891724]
 [23.8444269 86.3831149]
 [23.8418742 86.3806135]]",None,None,None,None,None,None,None,None,None,None,None
4580,None,None,None,None,None,None,None,None,None,None,None,None
4581,"[[23.8610643 86.3882601]
 [23.8680532 86.3890302]]",None,None,None,None,None,None,None,None,None,None,None
4582,[[23.8726242 86.3807527]],None,None,None,None,None,None,None,None,None,None,None
4583,None,None,None,None,None,None,None,None,None,None,None,None
4584,"[[23.8965798 86.3809316]
 [23.8977492 86.3801782]]",None,None,None,None,"[[23.8958508 86.3813493]
 [23.8961659 86.3814382]]",None,None,None,None,None,[[23.8963443 86.381065 ]]
4585,[[23.9067974 86.3810496]],None,None,None,None,None,None,None,None,None,None,None
4586,[[23.9198499 86.3821386]],[[23.9198499 86.3821386]],None,None,None,None,None,None,None,[[23.9109463 86.3862239]],None,None
4587,None,None,None,None,None,None,None,None,None,None,None,None
4588,"[[23.9305328 86.38448  ]
 [23.9309316 86.3817025]
 [23.9337552 86.3837514]]",None,None,None,None,None,None,None,None,None,None,None
4589,[[23.9438003 86.3855111]],None,None,None,None,None,None,None,None,None,None,None
4590,None,None,None,None,None,None,None,None,None,None,None,None
4591,None,None,None,None,None,None,None,None,None,None,None,None
4592,None,None,None,None,None,None,None,None,None,None,None,None
4593,None,None,None,None,None,None,None,None,None,None,None,None
4594,"[[23.4378999 86.3902016]
 [23.4380016 86.3902326]]",None,None,None,None,None,None,None,None,None,None,None
4595,[[23.4432449 86.3904276]],None,None,None,None,[[23.4436586 86.3906918]],None,None,None,None,None,None
4596,None,None,None,None,None,None,None,None,None,None,None,None
4597,None,None,None,None,None,None,None,None,None,None,None,None
4598,None,None,None,None,None,None,None,None,None,None,None,None
4599,[[23.4841811 86.3996735]],[[23.4841811 86.3996735]],None,None,None,None,None,None,None,None,None,None
4600,None,None,None,None,None,None,None,None,None,None,None,None
4601,[[23.504437 86.390883]],None,None,None,None,None,None,None,None,None,None,None
4602,None,None,None,None,None,None,None,None,None,None,None,None
4603,None,None,None,None,None,None,None,None,None,None,None,None
4604,None,None,None,None,None,None,None,None,None,None,None,None
4605,[[23.5444722 86.392156 ]],None,None,None,None,None,None,None,None,None,None,None
4606,[[23.5560802 86.3999488]],None,None,None,None,None,[[23.5505637 86.3995515]],None,None,None,None,None
4607,"[[23.5627031 86.3937324]
 [23.5614751 86.3979703]]",None,None,None,None,None,None,None,None,None,None,None
4608,None,None,None,None,None,None,None,None,None,None,None,None
4609,[[23.5817072 86.390883 ]],None,None,None,None,None,None,None,None,None,None,None
4610,[[23.5999734 86.3943296]],None,None,None,None,None,None,None,None,None,None,None
4611,[[23.6002402 86.3948352]],None,None,None,None,None,None,None,None,None,None,None
4612,[[23.6104308 86.3977561]],None,None,None,None,None,None,None,None,None,None,None
4613,None,None,None,None,None,None,None,None,None,None,None,None
