Grid_Number,Utilities
0,12.622664643495023
1,12.269067023029248
2,12.008380742189907
3,11.809071873303525
4,10.714696908735673
5,9.62435158569205
6,8.539579574292768
7,7.4628116302145315
8,6.398090169118434
9,5.352608752561847
10,4.340293234973344
11,3.3909781088693305
12,2.575302305716258
13,2.0587602236657396
14,2.077899808217465
15,2.6210119856947798
16,3.4488552168858533
17,4.403676083302654
18,5.242706697053592
19,4.872690736924862
20,4.324225900430555
21,3.2604319087093088
22,2.202151568401983
23,1.2415269460296852
24,0.8403386899574383
25,1.5309511417999686
26,2.54053459176159
27,3.6107731795157236
28,4.364515461753029
29,4.9161331535595485
30,5.635654102989317
31,6.46727849801708
32,7.3731707691230515
33,8.111464431872193
34,7.309654130727699
35,6.598415988548915
36,6.009992127344932
37,5.5833483635981125
38,5.3572767609652665
39,5.357229825534763
40,4.986192196711829
41,4.431793140606098
42,4.110028013083927
43,4.056740340269221
44,4.298383025249987
45,4.792485063696033
46,5.471068593094486
47,6.274562297526668
48,5.879693719925091
49,4.907430574920798
50,4.008467744647543
51,3.2443203720908076
52,2.7306185926120277
53,2.6191226249538486
54,2.9557048153431644
55,3.6173803768768584
56,2.7316337925946974
57,2.035908532297211
58,1.816834115380889
59,2.2202952798307565
60,3.0052284991932474
61,3.2922996819421315
62,2.2716079045885524
63,1.3978662551219987
64,1.1048619736307497
65,1.2150946203440733
66,1.1623760338649523
67,1.5022012667647897
68,2.373807398030301
69,3.3891262583929884
70,4.450871189218882
71,5.53237690382927
72,6.623971345373876
73,7.721376877083112
74,8.822425272389014
75,9.925904332156664
76,11.031084636184845
77,11.16335397857201
78,11.248371758754818
79,10.748742079277404
80,10.082464644205155
81,9.4999784868544
82,9.01753570184021
83,8.651888230406946
84,8.418268866172701
85,8.327796370536017
86,8.38510554550613
87,8.58723812198463
88,8.924358971504798
89,9.38192775900118
90,9.943330168116546
91,11.701917233153054
92,11.319681696247613
93,11.036683399110363
94,10.86068262933144
95,10.575318659457087
96,9.468951462989164
97,8.364064872402654
98,7.2613347872830785
99,6.161919093771229
100,5.067975262892923
101,3.9840132949500493
102,2.9211663638544976
103,1.9149219927250085
104,1.1284954023225988
105,1.1631594172063617
106,1.9761680365146133
107,2.988377939481182
108,3.7848632907882487
109,4.508695313081501
110,4.034362864093735
111,3.5038799039933974
112,2.8672656071339366
113,2.050426269348253
114,0.9466906549657296
115,0.24710493334923583
116,1.303365198894851
117,2.4102537578054295
118,3.076810198206299
119,3.4805014237645606
120,4.151371036667898
121,4.982643371300688
122,5.906983206787184
123,6.887018832788574
124,7.499074027201947
125,6.623606161724034
126,5.829328251658216
127,5.153914929964508
128,4.649459356185264
129,4.37549625346738
130,4.375537062255684
131,4.222278476503099
132,3.5506263055823593
133,3.1399237159690507
134,3.0737878089954678
135,3.3864078391561256
136,3.9950227489228065
137,4.788059902368333
138,5.68890944257932
139,5.514010776582525
140,4.462820658613972
141,3.4499396961225846
142,2.5219559615624645
143,1.8141946219978284
144,1.641707851646804
145,2.138216430364009
146,2.986904187490411
147,2.2060874209545127
148,1.2450532030999093
149,0.840449627753489
150,1.5282067934734027
151,2.5371911159850096
152,2.9338702104360115
153,1.9998956748178296
154,0.8907950689776878
155,0.24558367573499454
156,0.3052867466552135
157,0.2236507171422652
158,0.9775626578039337
159,2.0818501863286945
160,3.1914626722609385
161,4.302281966617204
162,5.413565238718509
163,6.5250754332169345
164,7.6367134662898035
165,8.748430605828117
166,9.860200094597161
167,10.206661282322242
168,10.17891899739162
169,10.272181346671614
170,10.005318618155165
171,9.285927615121352
172,8.650049938765136
173,8.117335613386953
174,7.709200491942709
175,7.446157951384139
176,7.343815459032842
177,7.408835536241702
178,7.6369446611327945
179,8.014228893581103
180,8.520895904046554
181,9.135443640232301
182,10.793711721689517
183,10.378166948281224
184,10.068830422231047
185,9.875687486280414
186,9.805606609052406
187,9.415814819348007
188,8.303866401634359
189,7.191918246366915
190,6.079970497539401
191,4.9680234280620885
192,3.8560776256311398
193,2.744134630499642
194,1.6322001801297559
