Voronoi_Sites_Lat,Voronoi_Sites_Lon,Catchment_Polygon_Population,Catchment_Polygon_Area,Voronoi_Sites_Grid_Number
24.3720194,85.82451259999999,-1.0,-1.0,1.0
24.4059496,85.82174479999999,-1.0,-1.0,4.0
24.4268312,85.8257478,169.0,1.044898193947936,6.0
24.4259798,85.8224108,-1.0,-1.0,6.0
24.4388407,85.82408889999999,63.0,0.6164773504789375,7.0
24.4394672,85.8201713,-1.0,-1.0,7.0
24.4421394,85.8227421,-1.0,-1.0,8.0
24.6245339,85.8217232,-1.0,-1.0,26.0
24.6283027,85.8253202,-1.0,-1.0,26.0
24.6314527,85.82942589999999,0.0,1.5168178267918409,27.0
24.6450486,85.8237084,-1.0,-1.0,28.0
24.6452936,85.82377579999999,-1.0,-1.0,28.0
24.702548,85.82220459999999,-1.0,-1.0,34.0
24.754182,85.8265324,-1.0,-1.0,39.0
24.8590155,85.8261019,490.0,0.6466509336610861,49.0
24.8560226,85.823397,443.0,0.1730306722350138,49.0
24.8546911,85.8228718,-1.0,-1.0,49.0
24.856099,85.8213359,-1.0,-1.0,49.0
24.8652813,85.82174479999999,-1.0,-1.0,50.0
24.8774737,85.82018529999999,-1.0,-1.0,51.0
24.8835684,85.826005,0.0,0.5084860327722467,52.0
24.8824421,85.8231639,-1.0,-1.0,52.0
24.8873607,85.8224133,-1.0,-1.0,52.0
24.917174,85.82955419999999,492.0,0.6532793982909172,55.0
24.9187135,85.82644049999999,-1.0,-1.0,55.0
24.91876239999999,85.8264256,-1.0,-1.0,55.0
24.9232415,85.8273166,-1.0,-1.0,56.0
24.9258782,85.8293202,0.0,1.0847971141488264,56.0
24.9375272,85.82791739999999,-1.0,-1.0,57.0
24.9418104,85.8289025,877.0,0.24525483824272964,58.0
24.940942,85.829093,292.0,0.039657916483747134,58.0
24.9405245,85.82741449999999,329.0,0.07910698135370398,58.0
24.9407561,85.82733809999999,682.0,0.11964338687622593,58.0
24.941746,85.829748,370.0,0.053459557264940456,58.0
24.94279689999999,85.82194179999999,-1.0,-1.0,58.0
24.9439978,85.821286,-1.0,-1.0,58.0
24.9607824,85.8297152,3159.0,0.3381150666556969,60.0
24.9629601,85.82540019999999,-1.0,-1.0,60.0
24.9792474,85.8204646,-1.0,-1.0,61.0
24.9706219,85.8236538,-1.0,-1.0,61.0
24.9943189,85.8206677,-1.0,-1.0,63.0
25.032617,85.8254712,-1.0,-1.0,67.0
25.0313861,85.8250257,-1.0,-1.0,67.0
25.0300649,85.82479099999999,-1.0,-1.0,67.0
25.0421265,85.8281521,-1.0,-1.0,68.0
25.054245,85.82656829999999,-1.0,-1.0,69.0
25.0520852,85.82919679999999,129.0,0.23585443857828603,69.0
25.051721,85.8297108,352.0,0.7557201953748655,69.0
25.0839297,85.82214359999999,-1.0,-1.0,72.0
25.0874711,85.8268657,0.0,0.9136509248196176,72.0
25.0950105,85.82492409999999,-1.0,-1.0,73.0
25.091552,85.82329089999999,0.0,0.16759075235959142,73.0
25.0913986,85.8221721,-1.0,-1.0,73.0
25.0926385,85.82050009999999,-1.0,-1.0,73.0
25.10877409999999,85.82427729999999,-1.0,-1.0,74.0
25.1085763,85.8242253,-1.0,-1.0,74.0
25.1406685,85.82430529999999,-1.0,-1.0,78.0
25.1424711,85.82308210000001,-1.0,-1.0,78.0
25.1445271,85.8242904,462.0,0.19335573161905864,78.0
25.1485955,85.8252842,-1.0,-1.0,78.0
25.146427,85.8212065,-1.0,-1.0,78.0
25.1476024,85.8212877,-1.0,-1.0,78.0
24.418176,85.83754019999999,0.0,1.2427636438742051,84.0
24.4234839,85.8371375,603.0,0.6519603753282777,85.0
24.4231289,85.83923159999999,203.0,1.0545890232936599,85.0
24.4350273,85.83285819999999,835.0,0.5852308729125502,86.0
24.4349626,85.83367609999999,752.0,0.45147640158638963,86.0
24.4331275,85.8396655,491.0,1.251477968774514,86.0
24.4452597,85.83032639999999,-1.0,-1.0,87.0
24.4508158,85.8373544,-1.0,-1.0,88.0
24.4508362,85.8375871,0.0,0.6110288165234575,88.0
24.450814,85.8376407,341.0,0.9468319758989352,88.0
24.6433707,85.8310593,0.0,2.18692319595518,107.0
24.6414813,85.83676,0.0,0.7932932287556946,107.0
24.6982681,85.8310868,-1.0,-1.0,112.0
24.7542761,85.8359976,785.0,7.694265017026578,118.0
24.857714,85.834194,1192.0,0.5206404486124252,128.0
24.8575106,85.8349458,244.0,0.0816996831595518,128.0
24.85735849999999,85.83511209999999,497.0,0.33799801616857633,128.0
24.8509111,85.8371231,55.0,2.5026607321011625,128.0
24.8656564,85.83821259999999,84.0,0.5094284306438394,129.0
24.8685991,85.8345459,428.0,0.9254788117914675,129.0
24.8793285,85.8348291,2190.0,0.9224470114718678,130.0
24.8754373,85.8368538,1379.0,0.42122329100736344,130.0
24.8868854,85.83237460000001,100.0,1.1323804916140618,131.0
24.8942083,85.8389158,3282.0,1.9581121156552328,132.0
24.9079482,85.83075219999999,-1.0,-1.0,133.0
24.909624,85.83796699999999,0.0,0.672102812221011,133.0
24.9157081,85.83829089999999,1065.0,0.579637313313756,134.0
24.939363,85.833469,507.0,0.13381875542141297,136.0
24.938225,85.83582589999999,1327.0,0.9427229280511042,136.0
24.940832,85.83091499999999,537.0,0.06923182869404584,137.0
24.9403427,85.8346665,1039.0,0.3258838020147384,137.0
24.94331,85.832685,1669.0,1.115966970054824,137.0
24.9402663,85.832706,437.0,0.05240742574492428,137.0
24.96025,85.83080819999999,2241.0,0.22428032222397157,139.0
24.9600839,85.8315381,4135.0,2.061586440817616,139.0
24.961433,85.830034,2180.0,0.5823549035671148,139.0
24.9799349,85.8331398,115.0,1.8567954185399094,140.0
24.9918754,85.8374503,0.0,1.2309322504013658,142.0
24.9937133,85.8390399,11.0,2.583330355789505,142.0
25.0249657,85.83197559999999,-1.0,-1.0,145.0
25.0388108,85.8397043,0.0,1.0305570547013674,146.0
25.0580376,85.8334965,158.0,2.0791321454393916,148.0
25.0766205,85.83397320000002,2177.0,1.4778727426967866,150.0
25.0777286,85.8342766,711.0,0.5946676587376466,150.0
25.08541,85.8393902,614.0,1.6643428511160878,151.0
25.1393287,85.83535069999999,291.0,0.024658853069851706,156.0
25.1398348,85.83740069999999,372.0,0.026416106852903864,156.0
25.1391711,85.8397648,164.0,0.009542776017170372,156.0
25.1380425,85.83251469999999,2273.0,0.5836098708626591,156.0
25.1379894,85.8327817,262.0,0.047675042516604225,156.0
25.1380938,85.83337139999999,606.0,0.0636155417968695,156.0
25.1386993,85.8350876,243.0,0.020422480232384285,156.0
25.1380204,85.8357568,469.0,0.04544494075777132,156.0
25.1399809,85.83572,168.0,0.012946664904041129,156.0
25.1379012,85.83669929999999,691.0,0.06054933212541201,156.0
25.1336875,85.83625909999999,2426.0,0.5968762458313103,156.0
25.1399963,85.8386496,145.0,0.009426739128767398,156.0
25.1391592,85.8393128,388.0,0.02604134659900309,156.0
25.1362687,85.83931679999999,653.0,0.05657937223265899,156.0
25.1356289,85.83939260000001,389.0,0.03681362134263942,156.0
25.1390387,85.8399302,345.0,0.023786988595605574,156.0
25.1346558,85.8398177,633.0,0.060878584417888335,156.0
25.1305957,85.8379788,2429.0,1.347209775785778,156.0
25.1455347,85.8309731,-1.0,-1.0,157.0
25.143157,85.8375693,474.0,0.031959280905264655,157.0
25.1460732,85.8383437,629.0,0.061658938973667976,157.0
25.1405114,85.8356775,505.0,0.04087853183253325,157.0
25.142906,85.834744,981.0,0.0999649552707988,157.0
25.1409141,85.8369397,77.0,0.005657622573293567,157.0
25.1409142,85.8369397,82.0,0.005664421664063738,157.0
25.1433923,85.83489519999999,1189.0,0.09754362669447288,157.0
25.1409499,85.8370758,61.0,0.0034500956253439847,157.0
25.1414176,85.83724079999999,316.0,0.019098336569546556,157.0
25.1410995,85.837704,117.0,0.006995654701088987,157.0
25.1401695,85.83852309999999,77.0,0.005047149156230436,157.0
25.140854,85.83830800000001,67.0,0.00434745305376997,157.0
25.1410701,85.8383774,130.0,0.007325240761392456,157.0
25.1405738,85.8390124,462.0,0.02762862275064266,157.0
25.1421954,85.83857309999999,316.0,0.020093017176559966,157.0
25.143934,85.83797469999999,598.0,0.04469327200658707,157.0
25.1428547,85.8394989,1023.0,0.08241778650417686,157.0
25.1458185,85.83917699999999,-1.0,-1.0,157.0
25.1480179,85.8368225,-1.0,-1.0,157.0
24.3681009,85.84734399999999,-1.0,-1.0,158.0
24.3668952,85.84601359999999,-1.0,-1.0,158.0
24.3666263,85.8462862,-1.0,-1.0,158.0
24.4057055,85.8426528,0.0,2.1813928600834473,162.0
24.406345,85.84270169999999,98.0,0.6442571974430382,162.0
24.405945,85.842175,417.0,1.338971684730964,162.0
24.4109241,85.8409453,623.0,1.3245664104611123,163.0
24.4408891,85.8420433,322.0,0.569790784130327,166.0
24.4412389,85.8423861,288.0,0.6524484955305101,166.0
24.4466322,85.8450276,380.0,0.42554977337434935,166.0
24.4466451,85.8460643,0.0,1.9871168936901098,166.0
24.591293,85.841156,-1.0,-1.0,181.0
24.5945462,85.8478006,0.0,3.147782757767428,181.0
24.5944415,85.8477729,0.0,0.8940932159045862,181.0
24.6328179,85.8419638,0.0,2.531718887410367,185.0
24.6334452,85.8486291,0.0,3.5489280599908177,185.0
24.64260029999999,85.84194769999999,0.0,1.698941340048566,186.0
24.6423746,85.8458029,0.0,2.319335403008724,186.0
24.7521953,85.8464501,299.0,9.204049956200928,197.0
24.8288638,85.8435049,-1.0,-1.0,204.0
24.8552575,85.8449954,129.0,1.0804571981909759,207.0
24.86205769999999,85.8441927,0.0,0.8260700023911847,208.0
24.869996,85.8435262,639.0,0.46430138744817806,208.0
24.8747205,85.8412498,920.0,0.3814348521920586,209.0
24.8729586,85.841177,650.0,0.18064042396923932,209.0
24.8727119,85.8435701,777.0,0.37313611132359265,209.0
24.8807136,85.8492708,602.0,1.4601748841604711,210.0
24.905177,85.8441082,456.0,1.2379296289952184,212.0
24.9146785,85.8409453,111.0,0.6229812789992393,213.0
24.9229323,85.8433706,626.0,0.6477723210488929,214.0
24.9257463,85.8433022,452.0,0.7395105987843772,214.0
24.9256857,85.8420886,237.0,0.7087177903691462,214.0
24.9411068,85.8486796,1613.0,0.44461548931608186,216.0
24.94110969999999,85.84864610000001,828.0,0.9194994089758541,216.0
24.9798927,85.8430877,0.0,1.818493648406012,219.0
24.9815909,85.8427615,0.0,0.6398923985859513,220.0
24.9811993,85.8433177,0.0,1.0744212420206731,220.0
25.0175147,85.8437022,19.0,0.3511688769399799,223.0
25.0178766,85.84385240000002,538.0,0.500802518654896,223.0
25.0159117,85.84534839999999,75.0,0.3642982994839933,223.0
25.0118662,85.8449129,1291.0,0.9002334353842839,223.0
25.0116909,85.8424738,3069.0,1.9838192381654454,223.0
25.022476949999998,85.84953085,734.0,0.9775789312923412,224.0
25.0274953,85.84855650000002,49.0,0.9634071686705763,224.0
25.0392229,85.8402713,0.0,1.3570205062648881,225.0
25.0657407,85.8485836,1184.0,0.19687767735171124,228.0
25.0642937,85.8447846,137.0,1.0535233271771216,228.0
25.0662866,85.8475017,322.0,0.09795926723847495,228.0
25.0662435,85.8465299,466.0,0.23435947024653186,228.0
25.0744435,85.8407307,0.0,0.8022326559074336,229.0
25.0779655,85.8439906,546.0,1.0401746697353391,229.0
25.099614,85.8431111,2453.0,2.3212525564113418,231.0
25.1283167,85.8428875,1917.0,0.9621385535957105,234.0
25.1394217,85.8414565,420.0,0.03573728883504815,235.0
25.1393809,85.84151360000001,501.0,0.04168276570516446,235.0
25.1328637,85.8401535,713.0,0.05989543130559107,235.0
25.13790940000001,85.841775,913.0,0.1637853171416088,235.0
25.131296,85.84034779999999,408.0,0.03729708060233796,235.0
25.1304545,85.8408524,550.0,0.06614755728677767,235.0
25.1301017,85.8498664,1009.0,0.4809231892964451,235.0
25.1335567,85.84965969999999,612.0,0.10867821560469448,235.0
25.1337075,85.84840580000001,319.0,0.0905104495684184,235.0
25.1335503,85.8484501,163.0,0.016221934299176833,235.0
25.1334125,85.8478196,122.0,0.01258695062657703,235.0
25.1333603,85.8471824,505.0,0.0851127440211016,235.0
25.1328658,85.84719199999999,114.0,0.00979624747494137,235.0
25.1325957,85.8469437,235.0,0.020471828239493797,235.0
25.1316881,85.8468582,961.0,0.08719084893378715,235.0
25.1330386,85.8439527,514.0,0.0724172120128734,235.0
25.1331439,85.8434102,120.0,0.01838775843690207,235.0
25.1333245,85.8427916,452.0,0.062321632357001173,235.0
25.1323844,85.8430333,376.0,0.030935884981863795,235.0
25.13073739999999,85.844296,926.0,0.09354492843186904,235.0
25.1304379,85.8420369,488.0,0.042453903221248514,235.0
25.14175029999999,85.8481121,1846.0,0.22496368140952555,236.0
25.14206859999999,85.843436,1764.0,0.161418610090609,236.0
25.1439868,85.84521819999999,302.0,0.060793216253705915,236.0
25.1439616,85.8451379,375.0,0.03454886023635672,236.0
25.1451948,85.8449303,-1.0,-1.0,236.0
25.145165,85.844822,-1.0,-1.0,236.0
24.3876208,85.85630069999999,2955.0,4.649382117087412,239.0
24.4187914,85.85758009999999,0.0,1.6876400465249786,242.0
24.4752541,85.8502178,-1.0,-1.0,248.0
24.5006757,85.85161060000001,-1.0,-1.0,251.0
24.5015893,85.85479579999999,0.0,8.710096811992232,251.0
24.5936328,85.8583913,123.0,11.812037933998235,260.0
24.6847593,85.85097909999999,0.0,2.663033394061655,269.0
24.683164,85.855181,227.0,5.67725304464271,269.0
24.6859112,85.8502609,945.0,7.09948095444499,269.0
24.84362849999999,85.8515805,445.0,1.500367980245014,285.0
24.8461948,85.8545927,0.0,1.0855315691279885,285.0
24.8473935,85.8506294,1544.0,0.8465824459583409,285.0
24.867872,85.8543948,11.0,1.2467710386652662,287.0
24.8843044,85.85647829999999,53.0,2.005037605059446,289.0
24.8978809,85.85318989999999,235.0,1.5983828825885893,290.0
